,text,label
49,Huỷ trước khi shop giao cho ship để đổi màu mà shop k nhận đơn huỷ vẫn cố giao!,1
50, Đóng gói sản phẩm rất kémTư vấn k nhiệt tình,1
51,Sản phẩm tốt ưng ý!,0
52,E xay đá mà bị gãy ko xay dc ạ,0
53,Sản phẩm rất đẹp. Y hình và chất lượng rất tuyệt vời. Mik mua một lúc 5 đôi luôn. Mik sẽ ủng hộ shop dài dài ,0
54,Sản phẩm không an toàn quá nguy hiểm cho người sử dụng. Không đáng để mua sp này. Quá sai lầm khi mua,1
55,Thời gian giao hàng lâu. Đặt mũ len mèo màu ghi xám lại giao màu vàng. Khẩu trang xô mỏng tang.K biết có phải do giá sale k mà chất lượng chán thế.,1
56, Chất lượng sản phẩm tuyệt vời.Hơi cũ tí nhưng mượt lắm thanks shop,0
57,Sản phẩm k như mình mong đợi..k cài dc đồ chơi vào..ghế hơi bất tiện khi sử dụng,0
58,Hôm nay tình cờ đọc được bài viết của bạn mình cảm thấy rất vui .,1
59, Đóng gói sản phẩm rất chắc chắn. Sản phẩm rất dày dặn. Thời gian giao hàng rất nhanh.,0
60,Áo vs giày siêu yêu ạ,0
61,mang đi công tác rất tiện lợi dùng rất mượt ko lo bị trầy xước,0
62,Chất lượng quá kém giao hàng không đúng mẫu . Khuyên mọi người không nên mua hàng của shop ,1
63,Đặt lần 2 rồi mà giao hàng lâu quá vậy ???,1
64,Khăn dày đẹp.,0
65,Đặt tat bé giao tat nguoi lon .giao lộn hỏi k tl ,1
66,Mình thoa vào ngọn tóc thấy tóc bị rít nên chỉ thoa vào phần chân mùi thơm,1
67,-Giao hàng rất nhanh <3 <3 gói hàng siêu kĩ luôn.-Son thơm mùi sữa cacao ghiền luôn á =3333 vỏ son nhìn cưng ghê màu son siêu đẹp chất son rất lì như son kem nên dưỡng kĩ môi vs tẩy tbc mới đánh xinh đc =))) ,0
68,Đánh 1* vì không có 0*.Đặt 3 gói Monny L44 tt thẻ ở tp HCM nhưng 1 tuần mới nhận đc gói hàng bằng 1 túi nilong do người nhà nhận dùm khi mình kiểm tra thì thấy có 1 gói nên yc hoàn tiền và yc gọi dt yc shop giao 2 gói thiếu shop hứa và đợi đến ngày cuối cùng gửi trả hàng thì không thấy đâu.,1
69, Thời gian giao hàng rất nhanh shop phuc vụ quá qua tệ hang  bị hư hại ma hong lời giai quyết .người khác da the ma nguoi kia cũng vay hong chu đáo can xem xet lại khi mau hàng shop nay nha cac ban,0
70,Đẹp thích hết,0
71,Kem dùng ổn mỗi tội hơi tối do với da mình,0
72,Đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt,0
73, Good value for money Good value for money Fast delivery Excellent service by seller,0
74, Chất lượng sản phẩm tốt Đóng gói sản phẩm rất cẩn thận và chắc chắn Thời gian giao hàng rất nhanh,0
75,Chị chủ tư vấn rất nhiệt tình 😆😆 hình dáng và chất lượng sản phẩm tuyệt vời,0
76,SHOP ĐĂNG ẢNH MỘT ĐẰNG SẢN PHẨM MỘT LẺO .BÁN CÁP THÌ ÚP HÌNH CÁI CÁP THÔI CHỨ UP CẢ CỤC SẠC GÂY NHẦM LẪN CHO KHÁCH HÀNG LÀ COMBO CÁP+ DÂY SẠC. TÔI MUA LIỀN 2 CÁI LÚC NHẬN HÀNG MỚI NGỚ NGƯỜI RA BỊ MUA ĐẮT. CHẤT LƯỢNG SẢN PHẨM CHƯA RÕ.,1
77, Chất lượng sản phẩm tuyệt vời. Shop tư vấn nhiệt tình ạ <3 sẽ ủng hộ shop dài dài.,0
78, Poor delivery speed Poor product quality,1
79,Đúng là tiền nào của đó ko ngon mùi kì kì ko thơm như lạp xưởng bình thường! Thất vọng vô cùng!!!,0
80, Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắncám ơn shop đã tặng quà  sẽ ủng hộ tiếp...,0
81,Giày Ok lắm shop ship hàng nhanh nữa ❤️,0
82, Chất lượng sản phẩm tuyệt vời.rất  OK ,0
83,Giày chắc chắn . Đế hơi bẩn tí nhưng chắc sẽ lau được . Giao hàng nhanh,0
84,Hàng giao thiếu kêu gửi bù cho mà cả tháng chưa thấy gửi. Nhắn tin ko trả lời,0
85,Shop hết hàng nhưng không báo. Mình đặt 1 cặp thế mà gởi chỉ 1 ốp kèm theo tiền ốp kja. Thanh toán mở hàng ra xem thì chỉ có 1 ốp và số tiền đã thanh toán. Xài cặp thế giờ có 1 ốp thì sao đây. Mình chỉ góp ý vậy thôi ,1
86,Giao ko đúng Đồ. Tôi đã bị lừa ,0
87,hk giong mẩu gì cả da vay bi lỗi nua ,1
88,Tương đối hài lòng giày chắc chắn êm nhưng đường may chỉ thừa còn nói chung ok với giá này :) thanks shop nha,0
89,Dép xinh. Chủ shop rep tn rất nhiệt tình. Chúc shop buôn may bán đắt ạ.,0
90,Mua 2đ có 2 lỗ xỏ dây ib shop kh trả lời giày rộng mn cân nhắc trc khi mua. ,1
91,Tốt tgian giao hàng nhanh,0
92,Nên mua nha mọi người,0
93,Thấy ghi đc tặng kèm tã quần.đến khi nhận hàng thì k thấy.hỏi shop thì nói k có.,1
94, Shop phục vụ rất kém. Đã phải nhắn tin hỏi cẩn thận là còn k. Shop nói còn mà gửi màu sai. ,1
95,Shop phục vụ rất tốt. Sản phẩm đúng với thông tin đăng tải.,0
96,Đặt combo mà shop chỉ giao bánh gạo và sốt k thấy phô mai và chả cá đâucó trả lại tiền nhưng mua combo để có đầy đủ vâyh mà thiếu chả báo gì ib thì chưa thấy trả lời. Shop phục vụ rất kém,1
97,Shop này uy tín nè hàng đã đẹp mà còn đầy đủ hộp + pin tặng thêm đeo đồng bọn nó hỏi mua mấy triệu he he chắc nhập hàng của shop về bán lại quá :),0
98, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.  Hàng  Giao  Dung  mẫu  chọn.  Chất  vải  dẹp ,0
99,Sản phẩm k như quảng cáo là 9058 liên hệ theo số đt của shop trên vỏ hộp gửi thì thấy tổng đài báo:số đt không có.Hãi vãi!,1
100, Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn giao hàng siu nhanh chỉ có 1 điểm trừ duy nhất là đậu phộng không được cay cho lắm.,0
101, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh lại còn được thêm quà tặng kèm.  Shop phục vụ rất tốt !,0
102,ngọt wá. cay wá. ướt wá tạm đc. đúng với giá tiền,1
103,Chưa xài nhưng shop nhiệt tình giao hàng nhanh đóng gói đẹp nên cho 5*,0
104,Mui khoan xài mau lúc qua,1
105,Trước mắt dùng tốt,0
106,Sản phẩm tốt. Mẫu mã đẹp  Chất lượng sản phẩm tuyệt vời,0
107,sản phẩm kém chất lượng độ sáng yếu pin không cầm sáng hoài không tắt công suất 15w thua bóng 9w nữa hàng kém chất lượng,1
108,Sản phẩm tốt.. Xài rất ưng ý ,0
109, Đóng gói sản phẩm rất đẹp và chắc chắn. Tuy nhiên sản phẩm ko đc như mong đợi của mình lắm .Thời gian giao hàng rất nhanh,0
110,Hạt giống k nảy mầm,1
111, Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.Shop có tâm máy dùng thích,0
112,rẻ hơn khi mua sieu thị nè  Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh,0
113,Sp ok lam an uy tin. Goi  hang can  than. Giao hang nhanh,0
114, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh ns chung sp bên shop giá mềm hàng đẹp e sẽ ủng hộ shop nhiều hơn😁😁,0
115,TOÀN HÀNG FAKE. MASK RẺ TIỀN .BÁN HÀNG CÓ TÂM MỘT CHÚT ĐI,1
116,hàng ko đúng chất lượng,1
117, Chất lượng sản phẩm rất kém.thô.,1
118, Chất lượng sản phẩm tuyệt vời.Giao hàng bao nhanh nhé dù ở tpHCM shop ngoài Đà Nẵng nhưng chỉ mất 2 ngày kể từ lúc đặt. .Chúc shop mua may bán đắt,0
119,San Pham tuyet voi.. Giay ray Dep..  Cho 5sao luon nha shop,0
120,mua 2 cục lap vao ko có tính hiêu . đều ko dùng được,1
121, Chất lượng sản phẩm rất kém. Mua 3 đôi k vừa 1 đôi mà kêu size chuẩn.,1
122, Chất lượng sản phẩm kém luoi bọc quat nhỏ wa ko dung đc,1
123,Giày đẹp quá thể ❤️. Ưng lắm lắm. Sẽ ủng hộ shop dài dài. 💋💋. Chất đẹp còn hơn cả ảnh nữa. Yêu yêu 💋💋,0
124, Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.chất lượng chưa dùng nên chưa biết hiệu quả k. 😘😘,0
125, Đóng gói sản phẩm rất đẹp và chắc chắn. Chúc shop đắt khách nha 🎉🎉🎉🎉,0
126,Đồng hồ đẹp lắm chúc shop bán đắt nhé,0
127, Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm tốt  .Shop phục vụ tận tình ,0
128,"Vừa sắm em M905, thấy nói ngon nhưng mới xài nên chưa đánh giá được...cảm nhận qua: đầm tay, chọn điểm click chính xác, wheel lăn 2 chế độ (trơn và cà nhắc) rất hay.. Giá: 1,699 tr. Mua của Trần Anh - Hà nôi",0
129,"""ôi cái cấu hình đt "" mạnh kinh """"",1
130, Chất lượng sản phẩm rất kém. Nhìn hàng vừa nhận mà chỉ mun vứt đi như hàng dùng rồi mà vẫn còn ship dc cho khách. Làm ăn thất đức ,1
131,Son rất đẹp thơm mùi trái cây ,0
132, Đóng gói sản phẩm rất kém.Bánh tráng như bị ỉu và nghe mùi chua.Đề nghị bồi thuờng lại cho bên e,1
133, Đóng gói sản phẩm rất đẹp và chắc chắn. Quà tặng kèm siêu dễ thương ah. Sẽ còn mua lại ,0
134,Váy nhỏ sao với kích thước bé nhà mình 19kg đã chon size lớn nhất nhưng vẫn hok vừa!!! Hic,1
135,Bình thường mang 38 vừa ma giờ mua 38 mang rộng như 40 vậy. Chất liệu không êm.. 😖😖,1
136, Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt . Chất lượng sản phẩm tuyệt vời. Lần sau mình sẽ ủng hộ tiếp !,0
137,"""tuyệt vời ông mặt trời!""",0
138,Sản phẩm giống hình.  Giao hàng nhanh.  Chất lượng thì chưa biết ,0
139,Giày giống hình nhưng đặt mua màu xám lại giao màu đỏ. Không hài lòng,1
140,Giao hàng không có hai miếng hít chỉ có cái giá nhựa không biết phải làm sao...,1
141,Chất lượng sp kém Shop phục vụ k nhiệt tình. Hàng lỗi shop k cho đổi.Z cũng nói bảo hành ,1
142,Mua Hồng ship Đen :) ,1
143,"""Khung viền kim loại thì máy chắc chắn hơn rồi, mà có hỗ trợ cả 4G thì cập nhật kịp thời r""",0
144,Phát sóng mạnh và xa. Đáng mua,0
145,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn son lên màu chuẩn chất son mịn mượt k khô môi! Rất ưng. Sẽ ủng hộ shop lần sau ,0
146,Đóng gói max cẩn thận chất lượng khỏi bàn 💯,0
147,Máy dỏm nâng giá cao lên rồi hạ giá khuyến mãi rất thất vọng,1
148,Rất thơm. Mùi dịu ngọt dễ chịu. .Chị chủ shop dễ thương tư vấn nhiệt tình ^_^,0
149,Mình mua bộ này trong đợt sale 99k của Tiki hàng giao chậm vì bị cháy hàng thì không sao. Nhưng chất lượng SP thì khác hoàn toàn so với các lần mình mua trước đó ở Siêu thị. Dầu gội thì lỏng và không thơm như bình thường hay dùng dầu xả thì có mùi kì lạ chua chua gì đó xộc lên mỗi lần lấy ra dùng.Nói chung là cảm giác như không phải chính hãng vậy đó.,1
150,Áo đẹp. Lông mịn.  Nói chung là rất ưng ý và Rất đáng tiền,0
151,o ngon,1
152,k như QC jờ mới lắp keu rất bé dc đổi lại thì tốt.,1
153,Giày chất rất ổn giao hàng hơi lâu chút.  Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền,0
154,san pham khac so voi hinh mau.quan din dau nhot.vai mong,1
155,"đã mua, chưa bít kq ra sao, tuy nhiên ko có ghi shopee ở ngoài, bên trong ok,thanks. Thời gian giao hàng rất nhanh",0
156,Shop giao hàng nhanh. Son màu cam sáng nên chất hơi bột lên màu chuẩn và có màu bám lại sau khi chùi.,0
157,Cảm ơn shop giao hàng rất nhanh trong 2 gói thì m thích gói khô gà lá chanh hơn khô và thơm. Sẽ ủng hộ shop thêm Đóng gói sản phẩm rất đẹp và chắc chắn,0
158,"""cái này đc đấy, mình thích đồ chính hãng.""",0
159,Dong ho sai duoc ,0
160,Đặt trong ảnh là lọ thủy tinh  không thấy thương hiệu hay nhãn mác . Nhưng giao là lọ nhựa  hiệu hơi lạ . Nhưng không sao  viên nghệ ăn dễ ngọt  nghe mùi mật ong đúng . Không chắc là hiệu quả vì chỉ mới sử dụng vài viên  nhưng nếu có hiệu quả lần tới sẽ mua tiếp ❤️. ,0
161,Kêu tặng 7 bịch bánh tráng nhưng chỉ đưa 4 cục kẹo milo ,1
162, Chất lượng sản phẩm tuyệt vời0k,0
163,Chất lượng tốt ! 👍🏻,0
164, Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Shop phục vụ rất tốt Rất đáng tiền Chất lượng sản phẩm tuyệt vời,0
165, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn. Khá ok,0
166,Mk mua sz 41 mà giao nhầm sz rộng ko đi đc😡,1
167, Chất lượng sản phẩm tốt  đóng gói sản phẩm cẩn thận,0
168,Túi chắc chắn. Gói hàng cẩn thận chu đáo,0
169, Thời gian giao hàng rất nhanh có 2 áo trùng kiểu,0
170,"Sản phẩm mẫu mã đẹp. .Chất lượng sản phẩm thì chưa đánh giá được vì chưa trải qua sử dụng.. Shop phục vụ rất tốt, rất nhiệt tình..Thời gian giao hàng cũng khá nhanh 3 ngày đã nhận hàng..Đã check: không biết có phải chính hãng hay không  AE xem hình mình update kèm hihi..Thanks shop lần sau ủng hộ nữa",0
171, Chất lượng sản phẩm tuyệt vời đẹp dùng ổn,0
172, Rất đáng tiền  Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt,0
173,Hàng đẹp tuyệt vời như hình. Mình ở xa mua cũng sợ nhưng shop gửi hàng đẹp không lỗi giày ko nhăn nheo. Rất hài lòng. Sẽ ủng hộ shop dài dài ạ 😘,0
174,"""17cu thì mua lg v10 vừa đẹp mà con dư tiền""",1
175, Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Giày đẹp y hình shop đăng.,0
176,Size 3xl mà 62kg mặc vừa shop gọi điện thoại tư vấn nhiệt tình và chu đáo nhưng sản phẩm ko giống như mô tả sản phẩm vải đẹp nhưng đường chỉ may vắt sổ còn thừa quá nhiều chỉ,1
177,Không hài lòng đã nhắn shop là gửi đồng hồ mặt nhỏ rồi lại gửi mặt lớn to đeo ko đẹp mà mua 3 cái rồi đó,1
178,Chuẩn hàng lắm mn ạhh!!! lên tone nhiều & ko hề lộ vân gì cả nên đố ai biếttt 😍 Ko dính quần áo mình xịt lên quần áo đen cũg k dính ,0
179,Shop gói hàng xinh xắn cẩn thận. Đàn nhỏ xinh và âm nghe cũng hay. Mình rất hài lòng,0
180,Bộ khung khó sài lên hình méo mó không đẹp,1
181,Đèn leb shop gửi câu lộn dây... gắn vào xe ko sáng đèn... cần lưu ý hàn cho đúng cực âm dương,1
182,giống hình quảng cáo. đáng tiền,0
183,Rất đáng tiền. Đẹp và y như hình. Shop phục vụ rất tốt,0
184,Hàng chất lượng tốt. Giao hàng nhanh chóng. Shop uy tín,0
185,hang ko thật như hinh ảnh hàng gui là hàng phek ko đúng hàng như shop nói.,1
186,Dầu rất thơm bỏ vào máy phun sương khuếch tán thơm cả phòng luôn. cảm ơn shop đã đem đến một sản phẩm thiết thực,0
187,Giao hàng nhanh sản phẩm đẹp lắm i hình luôn ,0
188,"Gương hơi mờShop k rep tn.Thật sự thất vọng.Vẽ lem,loãng.Ai mua hàng đừng dựa vào lượng feedback mà mua như mình.",1
189,xui xui trúng cây ko có miếng lót ko xài đc,1
190,mình nhập Đúng tên và mật khẩu nhưng không vào được,1
191, Chất lượng sản phẩm tuyệt vời..  Đóng gói sản phẩm rất đẹp và chắc chắn. Đóng gói sản phẩm rất đẹp và chắc chắn,0
192,xấu wa,1
193,Chưa xai chưa biet sao ,0
194, Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh. Chất vải hơi mỏng dày thêm tí nữa thì đẹp,0
195,Led sáng ngon.  Chất lượng sản phẩm tuyệt vời,0
196,Nói là tích điện nhưng sạc điện không vô......theo mình các bạn không nên mua sản phẩm này mua về tốn tiền mà không sử dụng đượcBán hàng không có tâm.... Chất lượng sản phẩm rất kém,1
197,Mua phi ca tien. cau qua kem,0
198,Đóg gói ko đep,0
199,giao hag z mà cug lộn sai nửa ... dat sai 31 ma giao sai 28 ak,1
200,Ngon giòn đáng tiền nhưng tiền ship hơi cao :)),0
201,"Hàng rất tốt ,giao hàng rất nhanh ,và gói hàng rất cẩn thận.Cảm ơn shop vì cái giắc DC",0
202, Chất lượng sản phẩm rất kém mùi nhựa rất hôi độc hại nên không dám cho con ngồi. Giờ vứt  xó. Mua phí tiền. ,1
203,"""đang định lên con aiphone 7 mà nghe quảng cáo thiếu nhiều thứ quá chắc không mua, tưởng dùng camera kép, tưởng dùng dual pixel, tưởng dùng flash kép, tưởng bỏ home vậy lý, tưởng nhiều thứ nữa, vậy mà giá trên trời, hjc hjc""",1
204,giày phù hợp giá tiền,0
205, Đóng gói sản phẩm rất đẹp và chắc chắn! Rất đáng tiền!,0
206,Mói dùng mây hôm rât tôt về lâu dài thi chờ xem. Trước mắt hàng chất lượng giá rẻ. ,0
207,Đẹp mà đường nét tinh tế lắm,0
208,Mọi người nên mua lạp xưởng tươi của shop Đi nha rất là ngonvà ko bị ngán nữa trên cả sự mong đợi của mình.  Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh,0
209,Rất đáng tiền Chất lượng sản phẩm tuyệt vời .thank shop,0
210,Sản phẩm oke ,0
211,Giày làm = chất liệu gì mà hôi quá!,1
212,"""Tôi xài M7 từ lúc mới ra tới giờ, ko có lý do gì để đổi máy khác, phần cứng và phần mềm rất tuyệt vời. Tôi vô tình làm rớt từ độ cao hơn 1 m ko dưới 10 lần mà giờ sử dụng vẫn ok ngoài cái võ bị xước""",0
213,Sản phẩm đẹp. Đóng gói chắc chắn. Nhưng k có pin dự phòng.,0
214,kém chất lượngmua phí tiền,1
215,Đẹp lắm shop ơi.,0
216,đúng sản phẩm lắp tháo dễ dàng giao nhanh,0
217,Đã bỏ thích theo dõi fanpage của tiki gỡ app tiki vì lúc nào phải thấy bản mặt lờ của chi pu,1
218, Chất lượng sản phẩm tuyệt vời. Đồng hồ cứ bị đẹp quá. Rồi lại phải mua thêm 2 cái nữa . 😍😍😍,0
219, Chất lượng sản phẩm tuyệt vời. Mỗi tội đơn vị vận chuyển chậm quá. 5 ngày mới nhận đc ~.~,0
220,Giấy quá mỏng đọc khá là đau đầu. Tên riêng dịch ra tiếng việt đọc hơi... :( Mình thấy mọi người khen nhiều nên mới mua thế mà... thất vọng quá :(,1
221,Khá là ƯNG.Với giá này mua được đôi ntn là quá tuyệt rồi,0
222,Nội dung mình không bàn nữa vì sách mình mua tặng bạn thôi chứ cũng chưa đọc bao giờ nhưng mjk bực kinh khủng vì sách quá bẩn luôn>< chưa bao giờ mình bực tiki như vậy luôn ấy.... mong là không gặp đợt hàng nào như vậy nữa...,1
223, Rất đáng tiền  cảm  ơn  sop  nhiều  nha hang  ok lắm  hàng  dùng  đc e sẽ  ủng  hộ  sop  lau  dài  ,0
224, Đóng gói sản phẩm rất đẹp và chắc chắn.Số đúng chỉ để vào mạng.. chứ không dùng để nghe gọi,0
225,bạn cùng phòng mua shoppe  có 260k.  mình mua 440k. mà chất liệu k bằng. mới móc có mấy bộ áo dài đã gãy. tưởng tiki bán hàng uy tín nên chấp nhận mua giá cao hơn. nhưng quá thất vọng. k bao giờ mua và giới thiệu tiki nữa,1
226,"Quyển Thượng thật sự rất thu hút! Tôi như bị cuốn vào những tình huống dễ thương những gặp gỡ đối thoại sinh động. Nhưng ấn bản in vẫn không hề có gì khác về dịch thuật để câu từ hay hơn mang tính Việt hoá hơn; mà cứ như y hệt trên internet vậy. Lẽ ra câu chuyện đã rất hay nếu phần """" A Lan Nhược Chi Mộng"""" không quá dài dòng và phức tạp. Bây giờ mới thấy kể ra chuyện này tác giả đã lập quá nhiều nhân vật. Và để giải quyết hết những gút mắc của họ đã làm câu chuyện càng về sau càng loãng và chán!",1
227,Chưa dùng nên chưa biết chất lượng ntn.Cho 5 sao vì shop tư vấn rất nhiệt tình..Chúc shop luôn đắt hàng 🌺,0
228,Sản phẩm tốt ạ ❤️😍,0
229,"😆😆Giày đẹp lắm luôn .💕 Chị chủ shop cũng rất nhiệt tình tư vấn ,lại còn chụp ảnh thật sp trước khi gửi nữa chứ .💙Mỗi tội size hơi rộng chút thôi 💙. Rất đáng tiền",0
230,Mẫu mã y ảnh. Hộp bọc cẩn thận,0
231,Hàng tương đối ok  Rất đáng tiền,0
232,Màu đẹp cực. ,0
233, Đóng gói sản phẩm rất đẹp và chắc chắn. Thời gian giao hàng rất nhanh. Date sữa mới tận 2020,0
234,San phạm khác voi mo ta  thay ko dung,1
235,"""Pin 2300 nhìn thấy nản rồi...""",1
236,Shop giao hàng nhanh.Chất lượng sản phẩm rất đáng tiền cấc bác ạ,0
